fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
12/31/2024,1/30/2025,2.4,2.36,0.04,1.6949,post-market
9/30/2024,10/31/2024,1.64,1.6,0.04,2.5,post-market
6/30/2024,8/1/2024,1.4,1.35,0.05,3.7037,post-market
3/31/2024,5/2/2024,1.53,1.5,0.03,2,post-market
12/31/2023,2/1/2024,2.18,2.1,0.08,3.8095,post-market
9/30/2023,11/2/2023,1.46,1.39,0.07,5.036,post-market
6/30/2023,8/3/2023,1.26,1.19,0.07,5.8824,post-market
3/31/2023,5/4/2023,1.52,1.43,0.09,6.2937,post-market
12/31/2022,2/2/2023,1.88,1.94,-0.06,-3.0928,post-market
9/30/2022,10/27/2022,1.29,1.27,0.02,1.5748,post-market
6/30/2022,7/28/2022,1.2,1.16,0.04,3.4483,post-market
3/31/2022,4/28/2022,1.52,1.43,0.09,6.2937,post-market
12/31/2021,1/27/2022,2.1,1.89,0.21,11.1111,post-market
9/30/2021,10/28/2021,1.24,1.24,0,0,post-market
6/30/2021,7/27/2021,1.3,1.01,0.29,28.7129,post-market
3/31/2021,4/28/2021,1.4,0.99,0.41,41.4141,post-market
12/31/2020,1/27/2021,1.68,1.41,0.27,19.1489,post-market
9/30/2020,10/29/2020,0.73,0.7,0.03,4.2857,post-market
6/30/2020,7/30/2020,0.65,0.51,0.14,27.451,post-market
3/31/2020,4/30/2020,0.64,0.56,0.08,14.2857,post-market
12/31/2019,1/28/2020,1.25,1.14,0.11,9.6491,post-market
9/30/2019,10/30/2019,0.76,0.71,0.05,7.0423,post-market
6/30/2019,7/30/2019,0.55,0.53,0.02,3.7736,post-market
3/31/2019,4/30/2019,0.62,0.59,0.03,5.0847,post-market
12/31/2018,1/29/2019,1.05,1.04,0.01,0.9615,post-market
9/30/2018,11/1/2018,0.73,0.7,0.03,4.2857,post-market
6/30/2018,7/31/2018,0.585,0.545,0.04,7.3394,post-market
3/31/2018,5/1/2018,0.6825,0.6725,0.01,1.487,post-market
12/31/2017,2/1/2018,0.9725,0.965,0.0075,0.7772,post-market
9/30/2017,11/2/2017,0.5175,0.4675,0.05,10.6952,post-market
6/30/2017,8/1/2017,0.4175,0.3925,0.025,6.3694,post-market
3/31/2017,5/2/2017,0.525,0.505,0.02,3.9604,post-market
12/31/2016,1/31/2017,0.84,0.8025,0.0375,4.6729,post-market
9/30/2016,10/25/2016,0.4175,0.415,0.0025,0.6024,post-market
6/30/2016,7/26/2016,0.355,0.345,0.01,2.8986,post-market
3/31/2016,4/26/2016,0.475,0.5,-0.025,-5,post-market
12/31/2015,1/26/2016,0.82,0.8075,0.0125,1.548,post-market
9/30/2015,10/27/2015,0.49,0.47,0.02,4.2553,post-market
6/30/2015,7/21/2015,0.4625,0.4525,0.01,2.2099,post-market
3/31/2015,4/27/2015,0.5825,0.54,0.0425,7.8704,post-market
12/31/2014,1/27/2015,0.765,0.65,0.115,17.6923,post-market
9/30/2014,10/20/2014,0.355,0.3275,0.0275,8.3969,post-market
6/30/2014,7/22/2014,0.32,0.3075,0.0125,4.065,post-market
3/31/2014,4/23/2014,0.415,0.365,0.05,13.6986,post-market
12/31/2013,1/27/2014,0.5175,0.5025,0.015,2.9851,post-market
9/30/2013,10/28/2013,0.295,0.285,0.01,3.5088,post-market
6/30/2013,7/23/2013,0.2675,0.2625,0.005,1.9048,post-market
3/31/2013,4/23/2013,0.36,0.3575,0.0025,0.6993,post-market
12/31/2012,1/23/2013,0.4925,0.48,0.0125,2.6042,post-market
9/30/2012,10/25/2012,0.31,0.3125,-0.0025,-0.8,post-market
6/30/2012,7/24/2012,0.3325,0.37,-0.0375,-10.1351,post-market
3/31/2012,4/24/2012,0.44,0.3575,0.0825,23.0769,post-market
12/31/2011,1/24/2012,0.495,0.3625,0.1325,36.5517,post-market
9/30/2011,10/18/2011,0.2525,0.265,-0.0125,-4.717,post-market
6/30/2011,7/19/2011,0.2775,0.2075,0.07,33.7349,post-market
3/31/2011,4/20/2011,0.2275,0.1925,0.035,18.1818,post-market
12/31/2010,1/18/2011,0.23,0.1925,0.0375,19.4805,post-market
9/30/2010,10/18/2010,0.165,0.145,0.02,13.7931,post-market
6/30/2010,7/20/2010,0.125,0.11,0.015,13.6364,post-market
3/31/2010,4/20/2010,0.12,0.0875,0.0325,37.1429,post-market
12/31/2009,1/25/2010,0.13,0.075,0.055,73.3333,post-market
9/30/2009,10/19/2009,0.065,0.05,0.015,30,post-market
6/30/2009,7/21/2009,0.0475,0.0425,0.005,11.7647,post-market
3/31/2009,4/22/2009,0.0475,0.04,0.0075,18.75,post-market
12/31/2008,1/21/2009,0.0625,0.05,0.0125,25,post-market
9/30/2008,10/21/2008,0.045,0.04,0.005,12.5,post-market
6/30/2008,7/21/2008,0.0425,0.0375,0.005,13.3333,post-market
3/31/2008,4/23/2008,0.0425,0.0375,0.005,13.3333,post-market
