timestamp,atr,symbol
2004-01-02,0.0129,AAPL
2004-01-05,0.0129,AAPL
2004-01-06,0.0129,AAPL
2004-01-07,0.0129,AAPL
2004-01-08,0.0129,AAPL
2004-01-09,0.0129,AAPL
2004-01-12,0.0129,AAPL
2004-01-13,0.0129,AAPL
2004-01-14,0.0129,AAPL
2004-01-15,0.0129,AAPL
2004-01-16,0.0125,AAPL
2004-01-20,0.0122,AAPL
2004-01-21,0.0119,AAPL
2004-01-22,0.0117,AAPL
2004-01-23,0.0115,AAPL
2004-01-26,0.0114,AAPL
2004-01-27,0.011,AAPL
2004-01-28,0.0113,AAPL
2004-01-29,0.0111,AAPL
2004-01-30,0.0108,AAPL
2004-02-02,0.0108,AAPL
2004-02-03,0.0105,AAPL
2004-02-04,0.0103,AAPL
2004-02-05,0.0108,AAPL
2004-02-06,0.0106,AAPL
2004-02-09,0.0102,AAPL
2004-02-10,0.0102,AAPL
2004-02-11,0.0104,AAPL
2004-02-12,0.0101,AAPL
2004-02-13,0.0107,AAPL
2004-02-17,0.0105,AAPL
2004-02-18,0.0102,AAPL
2004-02-19,0.0108,AAPL
2004-02-20,0.0103,AAPL
2004-02-23,0.0102,AAPL
2004-02-24,0.0103,AAPL
2004-02-25,0.0103,AAPL
2004-02-26,0.0099,AAPL
2004-02-27,0.0104,AAPL
2004-03-01,0.0101,AAPL
2004-03-02,0.0097,AAPL
2004-03-03,0.0097,AAPL
2004-03-04,0.0104,AAPL
2004-03-05,0.0124,AAPL
2004-03-08,0.0126,AAPL
2004-03-09,0.0133,AAPL
2004-03-10,0.0136,AAPL
2004-03-11,0.0137,AAPL
2004-03-12,0.0134,AAPL
2004-03-15,0.0138,AAPL
2004-03-16,0.0142,AAPL
2004-03-17,0.0138,AAPL
2004-03-18,0.0134,AAPL
2004-03-19,0.014,AAPL
2004-03-22,0.014,AAPL
2004-03-23,0.0138,AAPL
2004-03-24,0.0133,AAPL
2004-03-25,0.0139,AAPL
2004-03-26,0.0134,AAPL
2004-03-29,0.0135,AAPL
2004-03-30,0.0132,AAPL
2004-03-31,0.0134,AAPL
2004-04-01,0.0131,AAPL
2004-04-02,0.013,AAPL
2004-04-05,0.0131,AAPL
2004-04-06,0.0131,AAPL
2004-04-07,0.0132,AAPL
2004-04-08,0.0131,AAPL
2004-04-12,0.0128,AAPL
2004-04-13,0.0132,AAPL
2004-04-14,0.0131,AAPL
2004-04-15,0.0153,AAPL
2004-04-16,0.0151,AAPL
2004-04-19,0.0154,AAPL
2004-04-20,0.0153,AAPL
2004-04-21,0.015,AAPL
2004-04-22,0.015,AAPL
2004-04-23,0.015,AAPL
2004-04-26,0.0147,AAPL
2004-04-27,0.0144,AAPL
