Date,stock_return,market_return,excess_return,volatility,market_volatility,regression_neutral,rolling_beta,rolling_alpha,stock_return_zscore,market_return_zscore,residual_neutral,combined_neutral
2016-12-15,0.005469224759093727,0.0051274538529151314,0.0003417709061785956,0.008058850321218352,0.011127975690742685,0.0014715391958397845,0.3429698246153714,0.0022391236145962294,0.3539930927735421,0.1921611683341251,0.16183192443941696,0.08165173181762837
2016-12-16,0.0012951131065446209,-0.0080163241509984,0.00931143725754302,0.008035066408258164,0.011397446328422543,0.002617776669202652,0.3420902907879709,0.001419643097207645,-0.17476811744213955,-0.9202671343084136,0.7454990168662741,0.37405839676773833
2016-12-19,0.005777356212813611,-0.005289450484866287,0.011066806697679898,0.008052884871313545,0.011106284565378195,0.005696091955561624,0.33350321011296413,0.0018453129736884684,0.3525599395635412,-0.6063384025869979,0.958898342150539,0.48229721705305034
2016-12-20,0.002657750342935472,0.004579025110782897,-0.0019212747678474251,0.007520756349160726,0.011128301790655146,-0.0015277028227817149,0.3598202524012615,0.0025378271946035705,0.04591403918866822,0.26926603245959574,-0.22335199327092753,-0.11243984804685463
2016-12-21,0.0009405728943994163,-0.007645934421408818,0.008586507315808234,0.0075173780167480195,0.011196316418564514,0.0018575071344891954,0.34951184516487865,0.0017554104075464755,-0.18458194752875615,-0.8164987217427992,0.6319167742140431,0.31688714067426615
2016-12-22,-0.00657782333845891,-0.0041487627796711335,-0.0024290605587877767,0.007601114486288151,0.011208697297386425,-0.006973152384574036,0.3443895543207416,0.0018241196107885477,-1.1619344578501485,-0.5014098187151942,-0.6605246391349543,-0.3337488957597642
2016-12-23,0.0019778140854758153,-0.000595149531319672,0.0025729636167954872,0.007572944283121876,0.011179086626790787,0.0004553469218984052,0.3492010401952824,0.0017302939989859744,-0.016310627306485585,-0.15823746615174294,0.14192683884525736,0.07119109288357789
2016-12-27,0.006350841057329193,0.005359535506922697,0.000991305550406496,0.007566126444191918,0.010363512347105985,0.002835848625375369,0.3443074354182146,0.0016696645065324093,0.5066749402108812,0.29650955810638896,0.21016538210449226,0.10650061536493381
2016-12-28,-0.004264028654272556,-0.002813564341774044,-0.0014504643124985117,0.0076806505483155135,0.010383841055368406,-0.004914473704256906,0.37616113787517386,0.0017087986142710894,-0.8615673866902296,-0.4485421215386709,-0.4130252651515587,-0.2089698694279078
2016-12-29,-0.0002569373072970338,-0.004900504900504865,0.004643567593207831,0.007283613134331987,0.009877135330943004,-1.109899466813797e-05,0.4031285547080753,0.0017296951452514709,-0.41451072297865416,-0.7266014706854763,0.31209074770682216,0.15603982435607702
