Timestamp,obv
2004-10-08,7345992155.0
2004-10-11,7022121432.0
2004-10-12,6561929772.0
2004-10-13,7724938935.0
2004-10-14,6725015934.0
2004-10-15,6883666893.0
2004-10-18,7096173105.5
2004-10-19,7224564433.5
2004-10-20,7312448121.5
2004-10-21,13252872462.0
2004-10-22,12769804779.0
2004-10-25,13162449171.0
2004-10-26,13756811365.0
2004-10-27,14950306958.0
2004-10-28,15814572622.0
2004-10-29,16624792632.0
2004-11-01,17226843634.0
2004-11-02,17956832363.0
2004-11-03,19161007167.0
2004-11-04,18232380639.0
2004-11-05,19437429044.0
2004-11-08,18910507718.0
2004-11-09,18434742443.0
2004-11-10,18943418951.0
2004-11-11,19350718558.0
2004-11-12,19746420553.0
2004-11-15,19370374577.0
2004-11-16,19075271082.0
2004-11-17,18677519485.0
2004-11-18,19136669544.0
2004-11-19,18371389579.0
2004-11-22,20939602547.0
2004-11-23,20028151236.0
2004-11-24,19009345016.5
2004-11-26,19105970313.0
2004-11-29,19148838355.5
2004-11-30,19255862862.5
2004-12-01,23454038660.0
2004-12-02,22466595273.0
2004-12-03,21227745235.0
2004-12-06,22475667282.0
2004-12-07,21418767026.0
2004-12-08,22110670117.0
2004-12-09,22852172458.0
2004-12-10,23627946833.0
2004-12-13,23232905638.0
2004-12-14,23648627653.0
2004-12-15,23250265655.0
2004-12-16,24376381981.0
2004-12-17,23592885198.0
2004-12-20,22424757630.0
2004-12-21,23489173094.0
2004-12-22,24055003259.0
2004-12-23,24300933104.0
2004-12-27,23741442145.0
2004-12-28,24353197956.0
2004-12-29,24802760805.0
2004-12-30,25148101950.0
2004-12-31,24869512872.0
2005-01-03,24177520181.0
2005-01-04,25274331677.0
2005-01-05,25954765957.0
2005-01-06,26660321862.0
2005-01-07,24239226642.5
2005-01-10,27162463164.0
2005-01-11,24550833353.0
2005-01-12,26470537672.0
2005-01-13,24676797079.0
2005-01-14,24836136838.5
2005-01-18,25008807411.0
2005-01-19,31660566861.0
2005-01-20,32575490175.0
2005-01-21,33486823886.0
2005-01-24,34328454327.0
2005-01-25,35297686496.0
2005-01-26,36037184035.0
2005-01-27,36533411731.0
2005-01-28,37335024532.0
2005-01-31,39016123813.0
2005-02-01,39694519691.0
2005-02-02,40714583111.0
2005-02-03,39982931180.0
2005-02-04,40546487743.0
2005-02-07,41070945067.0
2005-02-08,41960965157.0
2005-02-09,40769507966.0
2005-02-10,39676487673.0
2005-02-11,40877543274.0
2005-02-14,42149007745.0
2005-02-15,44461227657.0
2005-02-16,46100472496.0
2005-02-17,44581997378.0
2005-02-18,43418741815.0
2005-02-22,42199446996.0
2005-02-23,43544629941.0
2005-02-24,45063659460.0
2005-02-25,45979170775.0
2005-02-28,46304976300.0
2005-03-01,45836787832.0
2005-03-02,45378626174.0
2005-03-03,43966971163.0
2005-03-04,44723590719.0
2005-03-07,44272958269.0
2005-03-08,43251506048.0
2005-03-09,41929039526.0
2005-03-10,42706149503.0
2005-03-11,43338980935.0
2005-03-14,43944366740.0
2005-03-15,44452976048.0
2005-03-16,45150789945.0
2005-03-17,45952710746.0
2005-03-18,46892862086.0
2005-03-21,47433990627.0
2005-03-22,46882574876.0
2005-03-23,46272751067.0
2005-03-24,45920045915.0
2005-03-28,46195456990.0
2005-03-29,45734100529.0
2005-03-30,46129060523.0
2005-03-31,45492925087.0
2005-04-01,44851640446.0
2005-04-04,45431655426.0
2005-04-05,45987895582.0
2005-04-06,46402721596.0
2005-04-07,46909709702.0
2005-04-08,47559660351.0
2005-04-11,46737996730.0
2005-04-12,47719058911.0
2005-04-13,46347110740.0
2005-04-14,46234104028.5
