Timestamp,price_close,price_volume,RSI_normalized,bbands_middle,reportedEPS,atr,volume_nasdaq_normalized,close_nasdaq_normalized,obv_normalized,weekday
2004-01-01,-1.1770384863126857,-1.1686495702166888,1.0291258678670663,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Thursday
2004-01-02,-1.1770384863126857,-1.1686495702166888,-0.03804172174577358,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Friday
2004-01-05,-1.1770384863126857,-1.1686495702166888,0.6447407567507969,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Monday
2004-01-06,-1.1770384863126857,-1.1429869348388975,0.5518756376341205,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Tuesday
2004-01-07,-1.1770384863126857,-1.086061189404361,0.8784662391876246,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Wednesday
2004-01-08,-1.1770384863126857,-1.1686495702166888,1.2887819592296286,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Thursday
2004-01-09,-1.1770384863126857,-1.1686495702166888,0.8757885377104843,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Friday
2004-01-12,-1.1770384863126857,-1.1589947282282398,1.2392566068196904,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1565813846157256,-2.589810113917588,Monday
2004-01-13,-1.1770384863126857,-1.0184032915033052,1.407439336606035,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.128641485345771,-2.589810113917588,Tuesday
2004-01-14,-1.1770384863126857,-1.0617061551182039,1.4413949262989854,-0.790113260125642,-1.029471301141165,-0.7541928705430889,-1.4310077834092894,-1.1359940898821355,-2.589810113917588,Wednesday
2004-01-15,-1.1770384863126857,-0.7693429092732167,0.12190441218162898,-0.790113260125642,-1.0294712467949558,-0.7541928705430889,-1.4310077834092894,-1.1274160487166645,-2.589810113917588,Thursday
