Timestamp,CPI_normalized,GDP_normalized,CPI,GDP
2016-06-15,240.19285745238187,18860.80509298508,240.19285745238187,18860.80509298508
2016-06-16,240.18502802702437,18862.773952601925,240.18502802702437,18862.773952601925
2016-06-17,240.17698946364894,18864.745076665884,240.17698946364894,18864.745076665884
2016-06-18,240.16884624424748,18866.718573068916,240.16884624424748,18866.718573068916
2016-06-19,240.16070285081184,18868.694549702966,240.16070285081184,18868.694549702966
2016-06-20,240.15266376533418,18870.67311445998,240.15266376533418,18870.67311445998
2016-06-21,240.14483346980634,18872.654375231898,240.14483346980634,18872.654375231898
2016-06-22,240.13731644622032,18874.638439910686,240.13731644622032,18874.638439910686
2016-06-23,240.13021717656798,18876.625416388288,240.13021717656798,18876.625416388288
2016-06-24,240.12364014284148,18878.615412556643,240.12364014284148,18878.615412556643
2016-06-25,240.1176898270325,18880.608536307696,240.1176898270325,18880.608536307696
2016-06-26,240.1124707111333,18882.604895533415,240.1124707111333,18882.604895533415
2016-06-27,240.1080872771356,18884.604598125734,240.1080872771356,18884.604598125734
2016-06-28,240.10464400703148,18886.6077519766,240.10464400703148,18886.6077519766
2016-06-29,240.10224538281284,18888.614464977967,240.10224538281284,18888.614464977967
2016-06-30,240.10099588647174,18890.624845021783,240.10099588647174,18890.624845021783
2016-07-01,240.101,18892.639,240.101,18892.639
2016-07-02,240.10233709808335,18894.657013181473,240.10233709808335,18894.657013181473
2016-07-03,240.10498612618204,18896.678869342777,240.10498612618204,18896.678869342777
2016-07-04,240.10890092245023,18898.70452863737,240.10890092245023,18898.70452863737
2016-07-05,240.11403532504173,18900.73395121875,240.11403532504173,18900.73395121875
2016-07-06,240.1203431721107,18902.767097240376,240.1203431721107,18902.767097240376
2016-07-07,240.12777830181102,18904.803926855744,240.12777830181102,18904.803926855744
2016-07-08,240.1362945522968,18906.844400218324,240.1362945522968,18906.844400218324
2016-07-09,240.145845761722,18908.888477481596,240.145845761722,18908.888477481596
2016-07-10,240.15638576824065,18910.936118799033,240.15638576824065,18910.936118799033
2016-07-11,240.16786841000683,18912.987284324117,240.16786841000683,18912.987284324117
2016-07-12,240.18024752517437,18915.041934210323,240.18024752517437,18915.041934210323
2016-07-13,240.19347695189737,18917.100028611134,240.19347695189737,18917.100028611134
2016-07-14,240.20751052832975,18919.161527680022,240.20751052832975,18919.161527680022
2016-07-15,240.22230209262568,18921.22639157047,240.22230209262568,18921.22639157047
2016-07-16,240.23780548293914,18923.294580435955,240.23780548293914,18923.294580435955
2016-07-17,240.253974537424,18925.366054429953,240.253974537424,18925.366054429953
2016-07-18,240.27076309423444,18927.440773705945,240.27076309423444,18927.440773705945
2016-07-19,240.28812499152428,18929.518698417403,240.28812499152428,18929.518698417403
2016-07-20,240.3060140674477,18931.599788717813,240.3060140674477,18931.599788717813
2016-07-21,240.32438416015856,18933.68400476065,240.32438416015856,18933.68400476065
2016-07-22,240.34318910781099,18935.77130669939,240.34318910781099,18935.77130669939
2016-07-23,240.36238274855896,18937.86165468751,240.36238274855896,18937.86165468751
2016-07-24,240.3819189205564,18939.955008878493,240.3819189205564,18939.955008878493
2016-07-25,240.40175146195742,18942.051329425813,240.40175146195742,18942.051329425813
2016-07-26,240.42183421091593,18944.15057648295,240.42183421091593,18944.15057648295
2016-07-27,240.442121005586,18946.252710203386,240.442121005586,18946.252710203386
2016-07-28,240.46256568412167,18948.357690740584,240.46256568412167,18948.357690740584
2016-07-29,240.48312208467695,18950.46547824804,240.48312208467695,18950.46547824804
2016-07-30,240.50374404540563,18952.576032879228,240.50374404540563,18952.576032879228
2016-07-31,240.52438540446198,18954.689314787614,240.52438540446198,18954.689314787614
2016-08-01,240.545,18956.805284126687,240.545,18956.805284126687
2016-08-02,240.56555029966813,18958.92390104992,240.56555029966813,18958.92390104992
2016-08-03,240.58603328909382,18961.0451257108,240.58603328909382,18961.0451257108
2016-08-04,240.60645458339903,18963.16891826279,240.60645458339903,18963.16891826279
2016-08-05,240.62681979770545,18965.295238859388,240.62681979770545,18965.295238859388
2016-08-06,240.64713454713515,18967.42404765405,240.64713454713515,18967.42404765405
2016-08-07,240.66740444681014,18969.555304800273,240.66740444681014,18969.555304800273
2016-08-08,240.6876351118523,18971.68897045152,240.6876351118523,18971.68897045152
2016-08-09,240.7078321573834,18973.825004761275,240.7078321573834,18973.825004761275
2016-08-10,240.72800119852553,18975.96336788302,240.72800119852553,18975.96336788302
2016-08-11,240.74814785040056,18978.10401997023,240.74814785040056,18978.10401997023
2016-08-12,240.76827772813033,18980.246921176386,240.76827772813033,18980.246921176386
2016-08-13,240.78839644683697,18982.392031654952,240.78839644683697,18982.392031654952
2016-08-14,240.80850962164214,18984.539311559427,240.80850962164214,18984.539311559427
2016-08-15,240.828622867668,18986.688721043272,240.828622867668,18986.688721043272
2016-08-16,240.8487418000363,18988.840220259975,240.8487418000363,18988.840220259975
2016-08-17,240.86887203386905,18990.99376936302,240.86887203386905,18990.99376936302
2016-08-18,240.8890191842882,18993.14932850586,240.8890191842882,18993.14932850586
2016-08-19,240.90918886641552,18995.306857842,240.90918886641552,18995.306857842
2016-08-20,240.9293866953732,18997.466317524897,240.9293866953732,18997.466317524897
2016-08-21,240.94961828628297,18999.62766770804,240.94961828628297,18999.62766770804
2016-08-22,240.96988925426672,19001.790868544907,240.96988925426672,19001.790868544907
2016-08-23,240.9902052144464,19003.955880188976,240.9902052144464,19003.955880188976
