,Unnamed: 0,RSI,RSI_normalized
121,5/15/2000,38.2753,0.2848663332948192
122,5/16/2000,42.7176,0.3445494777741652
123,5/17/2000,39.8712,0.306307552995107
124,5/18/2000,39.4647,0.30084614826538264
125,5/19/2000,35.2515,0.24424100581206323
126,5/22/2000,32.9714,0.2136074291226553
127,5/23/2000,30.7897,0.18429587512797022
128,5/24/2000,32.9642,0.21351069575474868
129,5/25/2000,32.7169,0.2101881732709583
130,5/26/2000,32.1601,0.20270745948618463
131,5/30/2000,33.7651,0.22427093941535425
132,5/31/2000,31.3737,0.19214202608039083
133,6/1/2000,38.1576,0.2832850114333467
134,6/2/2000,42.2856,0.3387454756997719
135,6/5/2000,41.2092,0.3242838371977419
136,6/6/2000,43.1541,0.35041393820350014
137,6/7/2000,47.5721,0.4097706075661616
138,6/8/2000,45.7559,0.38536961551173293
139,6/9/2000,46.928,0.401117001695521
140,6/12/2000,42.1679,0.3371641538382995
141,6/13/2000,46.4166,0.3942462455361582
142,6/14/2000,42.3106,0.33908135544944745
143,6/15/2000,44.8099,0.3726599257840105
144,6/16/2000,43.5672,0.35596401518713877
145,6/19/2000,50.3863,0.44757991922763785
146,6/20/2000,55.3416,0.5141553161703261
147,6/21/2000,63.7672,0.6273548529249753
148,6/22/2000,59.2456,0.5666062978796584
149,6/23/2000,54.671,0.5051456777650293
150,6/26/2000,58.7353,0.5597503204292813
151,6/27/2000,53.6795,0.4918246868928974
152,6/28/2000,58.0724,0.5508441329868846
153,6/29/2000,51.7988,0.46655712508430586
154,6/30/2000,53.7066,0.4921887805415457
155,7/3/2000,55.2756,0.5132685936311825
156,7/5/2000,51.8565,0.46733233554655695
157,7/6/2000,52.1977,0.47191642237012876
158,7/7/2000,56.9932,0.5363448759528909
159,7/10/2000,61.2727,0.5938407715023498
160,7/11/2000,60.8124,0.5876565535513237
161,7/12/2000,63.8024,0.6278277716125185
162,7/13/2000,57.9597,0.5493299870753473
163,7/14/2000,59.9353,0.5758725484137072
164,7/17/2000,60.9645,0.5897000459483498
165,7/18/2000,58.2112,0.5527089373570832
166,7/19/2000,48.139,0.4173870167698042
167,7/20/2000,52.8411,0.48056062360777846
168,7/21/2000,49.7175,0.4385944641643178
169,7/24/2000,41.5189,0.32844471553672244
170,7/25/2000,44.3015,0.36582947519460873
171,7/26/2000,44.3015,0.36582947519460873
172,7/27/2000,48.3385,0.42006733717221506
173,7/28/2000,42.0897,0.3361135219813144
174,7/31/2000,47.081,0.4031725857635354
175,8/1/2000,44.5973,0.3698036043927697
176,8/2/2000,41.3695,0.32643749815266143
177,8/3/2000,42.9874,0.3481742920326637
178,8/4/2000,41.9567,0.3343266417130405
179,8/7/2000,43.2795,0.35209871102787266
180,8/8/2000,41.1342,0.3232761979487152
181,8/9/2000,43.0502,0.34901802196384857
182,8/10/2000,43.2095,0.3511582477287811
183,8/11/2000,43.5777,0.3561050846820025
184,8/14/2000,42.1515,0.3369438167225123
185,8/15/2000,41.2968,0.3254607598406049
186,8/16/2000,46.9628,0.4015845463070694
187,8/17/2000,54.6241,0.504515567354638
188,8/18/2000,50.7567,0.4525563135988307
189,8/21/2000,52.0268,0.4696203484013468
190,8/22/2000,55.0014,0.5095846645367412
191,8/23/2000,60.7691,0.5870748098248858
192,8/24/2000,64.1672,0.6327289289197838
193,8/25/2000,65.4216,0.6495820312395038
194,8/28/2000,67.6026,0.6788841806011978
195,8/29/2000,69.4768,0.7040644136748738
196,8/30/2000,69.9898,0.710956666138216
197,8/31/2000,72.3169,0.742221696757014
198,9/1/2000,75.8223,0.7893174117375195
199,9/5/2000,71.9004,0.7366259401274194
200,9/6/2000,58.7991,0.5606074855504533
201,9/7/2000,64.9248,0.6429074288539516
202,9/8/2000,56.9353,0.5355669784526423
203,9/11/2000,55.8907,0.5215325789921996
204,9/12/2000,54.2111,0.49896683388999813
205,9/13/2000,54.7418,0.5060968892161104
206,9/14/2000,51.7938,0.4664899491343707
207,9/15/2000,47.8278,0.4132059856458431
208,9/18/2000,59.0712,0.5642632007459217
209,9/19/2000,57.3077,0.5405702432038092
210,9/20/2000,59.3239,0.5676582732556422
211,9/21/2000,49.4461,0.43494815360184014
212,9/22/2000,41.7241,0.33120161652205926
213,9/25/2000,44.4441,0.367745333286758
214,9/26/2000,41.1885,0.3240057287650105
215,9/27/2000,37.5898,0.2756565105587158
216,9/28/2000,46.7319,0.39848236093906614
217,9/29/2000,23.8427,0.09096161028813111
218,10/2/2000,23.1817,0.08208094970670982
219,10/3/2000,22.3199,0.07050250297589461
220,10/4/2000,24.3647,0.09797477946135638
221,10/5/2000,23.569,0.08728439878868328
222,10/6/2000,23.7924,0.09028582023178393
223,10/9/2000,23.5416,0.08691627458303888
224,10/10/2000,23.0191,0.07989638781482014
225,10/11/2000,22.2633,0.0697420712226292
226,10/12/2000,23.0901,0.08085028630389864
227,10/13/2000,27.5864,0.14125893104254392
228,10/16/2000,27.1222,0.13502231585056845
229,10/17/2000,25.9628,0.11944555657961564
230,10/18/2000,25.9628,0.11944555657961564
231,10/19/2000,24.9069,0.10525933947231951
232,10/20/2000,26.4359,0.12580174496247554
233,10/23/2000,28.8595,0.15836327141502113
234,10/24/2000,27.1959,0.13601248935261198
235,10/25/2000,26.7857,0.13050137441993567
236,10/26/2000,26.7857,0.13050137441993567
237,10/27/2000,26.9928,0.13328380226624786
238,10/30/2000,29.6705,0.16925921049449563
239,10/31/2000,30.5845,0.18153897414263337
240,11/1/2000,34.0546,0.22816042691659708
241,11/2/2000,40.2486,0.31137799369620894
242,11/3/2000,40.1141,0.3095709606429545
243,11/6/2000,38.2554,0.28459897301407744
244,11/7/2000,37.9515,0.2805160187770216
245,11/8/2000,35.0666,0.24175683918346294
246,11/9/2000,35.6148,0.2491220103343482
247,11/10/2000,33.0065,0.21407900429119975
248,11/13/2000,34.4253,0.23314085184478597
249,11/14/2000,38.4127,0.28671232839903593
250,11/15/2000,37.3564,0.272520737215745
251,11/16/2000,34.9843,0.240651123047531
252,11/17/2000,33.6614,0.22287771021370018
253,11/20/2000,35.9565,0.2537128147529134
254,11/21/2000,35.565,0.24845293787299447
255,11/22/2000,34.5976,0.23545573507954978
256,11/24/2000,39.2476,0.29792936851920027
257,11/27/2000,37.0747,0.268736044196401
258,11/28/2000,34.8621,0.239009342831117
259,11/29/2000,33.3364,0.2185112734679181
260,11/30/2000,30.1333,0.1754770164204892
261,12/1/2000,33.7547,0.22413121343948927
262,12/4/2000,32.5541,0.20800092434107112
263,12/5/2000,34.6513,0.23617720478185283
264,12/6/2000,26.8493,0.13135585250311027
265,12/7/2000,26.8493,0.13135585250311027
266,12/8/2000,31.8137,0.19805350967468036
267,12/11/2000,32.6666,0.2095123832146111
268,12/12/2000,33.9668,0.22698081723573654
269,12/13/2000,32.6106,0.20876001257533783
270,12/14/2000,30.6672,0.18265006435456008
271,12/15/2000,29.3874,0.1654557082091698
272,12/18/2000,30.9393,0.18630577955002864
273,12/19/2000,30.0049,0.17375193802615566
