,SMA_200
2004-01-02,-0.771965216820226
2004-01-05,-0.7719552309927816
2004-01-06,-0.7719469094699113
2004-01-07,-0.7719369236424669
2004-01-08,-0.7719252735104485
2004-01-09,-0.7719152876830042
2004-01-12,-0.7719036375509858
2004-01-13,-0.7718919874189674
2004-01-14,-0.771878672982375
2004-01-15,-0.7718670228503565
2004-01-16,-0.7718570370229122
2004-01-20,-0.7718470511954677
2004-01-21,-0.7718370653680234
2004-01-22,-0.771827079540579
2004-01-23,-0.7718170937131347
2004-01-26,-0.7718054435811162
2004-01-27,-0.771795457753672
2004-01-28,-0.7717838076216534
2004-01-29,-0.771772157489635
2004-01-30,-0.7717605073576167
2004-02-02,-0.7717488572255983
2004-02-03,-0.7717372070935798
2004-02-04,-0.7717272212661355
2004-02-05,-0.771715571134117
2004-02-06,-0.7717039210020987
2004-02-09,-0.7716922708700803
2004-02-10,-0.7716806207380619
2004-02-11,-0.7716689706060433
2004-02-12,-0.771655656169451
2004-02-13,-0.7716456703420066
2004-02-17,-0.7716340202099882
2004-02-18,-0.7716240343825438
2004-02-19,-0.7716157128596735
2004-02-20,-0.7716090556413773
2004-02-23,-0.7716040627276551
2004-02-24,-0.7715974055093588
2004-02-25,-0.7715924125956367
2004-02-26,-0.7715874196819145
2004-02-27,-0.7715807624636183
2004-03-01,-0.771574105245322
2004-03-02,-0.7715674480270258
2004-03-03,-0.7715607908087296
2004-03-04,-0.7715524692858593
2004-03-05,-0.7715408191538408
2004-03-08,-0.7715308333263965
2004-03-09,-0.7715191831943781
2004-03-10,-0.7715075330623598
2004-03-11,-0.7714975472349154
2004-03-12,-0.771485897102897
2004-03-15,-0.7714759112754526
2004-03-16,-0.7714659254480082
2004-03-17,-0.7714542753159898
2004-03-18,-0.7714442894885454
2004-03-19,-0.771434303661101
2004-03-22,-0.7714226535290827
2004-03-23,-0.7714126677016382
2004-03-24,-0.7714026818741939
2004-03-25,-0.7713893674376014
2004-03-26,-0.771377717305583
2004-03-29,-0.7713660671735646
2004-03-30,-0.7713527527369721
2004-03-31,-0.7713411026049537
